"","title","timestamp","duration","venue","lat","lng","id","address"
"15","Exploring Educational Excellence- King of Prussia, PA","2019-06-06T19:00:00",5400,"DoubleTree by Hilton Hotel Philadelphia - Valley Forge",40.091,-75.37,"843f2f77-ae18-4195-9c26-6603f1d51ae9",NA
"16","Exploring Educational Excellence- Tysons, VA","2019-05-22T19:00:00",5400,"Tysons Corner Marriott",38.914,-77.221,"da7cec19-ce2b-45dd-bb9a-bb85cf8262bb",NA
"17","Exploring Educational Excellence- Richmond, VA","2019-05-23T19:00:00",5400,"Delta Hotels by Marriott Richmond Downtown",37.538,-77.441,"00c2b23a-57c9-425f-8274-3f19e5394dce",NA
"18","Exploring Educational Excellence- Birmingham, AL","2019-08-27T19:00:00",7200,"Sheraton Birmingham Hotel",NA,NA,"02df49bb-7f3a-467f-9b42-327a52392edb","Sheraton Birmingham Hotel
2101 Richard Arrington Junior Boulevard North
Birmingham, AL 35203
United States"
"19","Exploring Educational Excellence- Tuscon, AZ","2019-09-18T19:00:00",7200,"Tucson Marriott University Park",32.232,-110.958,"98460e71-fc1b-4627-afc2-14c37f4598c5",NA
"20","Exploring Educational Excellence- Greater Phoenix, AZ","2019-09-19T19:00:00",7200,"Hilton Scottsdale Resort & Villas",33.531,-111.924,"cd0c38b3-26d8-4377-93d4-34ae3b721bbf",NA
"21","Exploring Educational Excellence- Denver, CO","2019-09-15T14:00:00",7200,"Omni Interlocken Hotel",39.928,-105.118,"250791eb-458d-4cd8-87aa-911f35111991",NA
"22","Exploring Educational Excellence- Denver, CO","2019-09-15T19:00:00",7200,"DoubleTree by Hilton Hotel Denver Tech Center",39.611,-104.898,"1f271cd5-6927-4d7a-b1f1-7b7f4cba24e1",NA
"23","Exploring Educational Excellence- Hartford, CT","2019-09-25T19:00:00",7200,"Hartford Marriott Downtown",41.764,-72.669,"21d32ca5-9784-4a22-9a87-b5f49fd1ca1b",NA
"24","Exploring Educational Excellence- Fairfield, CT","2019-09-26T19:00:00",7200,"Fairfield Warde High School",41.186,-73.234,"313cbda1-2276-4e8e-ad4d-cfb47397a5f4",NA
"25","Exploring Educational Excellence- Waimea, HI (Island of Hawai'i)","2019-09-12T18:30:00",7200,"Hawaii Preparatory Academy",20.03,-155.699,"2d9fc5d2-f71e-4e86-9693-b371a69158ed",NA
"26","Exploring Educational Excellence- Honolulu, HI (O'ahu)","2019-09-14T14:00:00",7200,"Sheraton Waikiki",21.278,-157.83,"70620fee-2e37-40b4-aabb-3f1828413819",NA
"27","Exploring Educational Excellence- Nampa, ID","2019-09-17T19:00:00",7200,"Columbia High School",43.566,-116.514,"cd732d5d-2a95-4234-b602-c1ccadc06988",NA
"28","Exploring Educational Excellence- Des Moines, IA","2019-09-12T19:00:00",7200,"Urbandale High School",41.638,-93.715,"e39c16c0-d94a-4d1d-b8f6-80893628f8c1",NA
"29","Exploring Educational Excellence- Wichita, KS","2019-09-09T19:00:00",7200,"Hyatt Regency Wichita",37.684,-97.34,"ed2a5f1a-2f6d-4dbf-98d8-9f5a59992161",NA
"30","Exploring Educational Excellence- Kansas City, MO","2019-09-10T19:00:00",7200,"Sheraton Overland Park Hotel at the Convention Center",38.929,-94.657,"d448bcf3-1ad2-4fec-89de-741bedfa850b",NA
"31","Exploring Educational Excellence- Lexington, KY","2019-08-28T19:00:00",7200,"Four Points by Sheraton ",38.102,-84.483,"825e08a7-d318-4d93-b1f8-396fbfbeb3be",NA
"32","Exploring Educational Excellence- Baton Rouge, LA","2019-08-25T13:00:00",7200,"Baton Rouge Marriott",30.423,-91.134,"5247a311-cbbe-4b12-96e1-29e02d3a5dac",NA
"33","Exploring Educational Excellence- New Orleans, LA","2019-08-25T19:00:00",7200,"Hilton Garden Inn New Orleans Convention Center",29.941,-90.066,"9540c208-2b7f-41f4-9997-e8cb3524c928",NA
"34","Exploring Educational Excellence- Cambridge, MA","2019-09-22T14:00:00",7200,"Boston Marriott Cambridge",42.363,-71.086,"08a3415c-d635-4adf-bb1f-890c2df3f7fe",NA
"35","Exploring Educational Excellence- Newton, MA","2019-09-22T19:00:00",7200,"Boston Marriott Newton",42.346,-71.258,"96d04911-ea13-4f18-9318-c6a454cbb388",NA
"36","Exploring Educational Excellence- Jackson, MS","2019-08-26T19:00:00",7200,"Hilton Jackson",32.399,-90.143,"eda4472b-fd40-48f3-b308-9adaad6e9203",NA
"37","Exploring Educational Excellence- Omaha, NE","2019-09-11T19:00:00",7200,"DoubleTree by Hilton Hotel Omaha Downtown",41.26,-95.937,"e5704633-cdb9-42eb-a97c-e640bc94137b",NA
"38","Exploring Educational Excellence- Manchester, NH","2019-09-24T19:00:00",7200,"DoubleTree by Hilton Manchester Downtown",42.988,-71.464,"3de35b19-bd7c-41c3-8a17-840c70ee9eef",NA
"39","Exploring Educational Excellence- Albuquerque, NM","2019-09-16T19:00:00",7200,"DoubleTree by Hilton Hotel Albuquerque",35.089,-106.649,"b83a21c3-e1ce-493f-8ee7-a7ed0fa16bdb",NA
"40","Exploring Educational Excellence- Charlotte, NC","2019-08-28T19:00:00",7200,"Charlotte Marriott City Center",35.228,-80.843,"bd9a548d-3204-4901-9d67-eb024c9e5281",NA
"41","Exploring Educational Excellence- Cleveland, OH","2019-08-25T19:00:00",7200,"The Westin Cleveland Downtown",41.504,-81.691,"f6466435-bde6-4c09-9da0-20c9caadf3cb",NA
"42","Exploring Educational Excellence- Columbus, OH","2019-08-27T19:00:00",7200,"Upper Arlington High School",40.015,-83.054,"0a228f6b-242e-4c5e-9691-d2535f7a925c",NA
"43","Exploring Educational Excellence- Oklahoma City, OK","2019-09-08T13:00:00",7200,"The Skirvin Hilton",35.469,-97.514,"35a516bd-b3ba-494f-b625-cc2425c7178e",NA
"44","Exploring Educational Excellence- Tulsa, OK","2019-09-08T19:00:00",7200,"DoubleTree by Hilton Hotel Tulsa Downtown",36.148,-95.996,"2e0eea33-824a-43b7-a8e9-bceaf447162e",NA
"45","Exploring Educational Excellence- Portland, OR","2019-09-16T19:00:00",7200,"Crowne Plaza Portland- Downtown Convention Center",45.534,-122.664,"819a4ef6-01ed-452a-bb16-90050ae677be",NA
"46","Exploring Educational Excellence- Pittsburgh, PA","2019-08-26T19:00:00",7200,"Pittsburgh Marriott City Center",40.439,-79.992,"4c5d1070-5337-43be-a94a-5b3500689afe",NA
"47","Exploring Educational Excellence- Providence, RI","2019-09-23T19:00:00",7200,"Providence Marriott Downtown",41.836,-71.414,"29068606-39d1-46aa-9bc7-74702c349bed",NA
"48","Exploring Educational Excellence- Charleston, SC","2019-08-29T19:00:00",7200,"North Charleston Marriott",32.873,-80.009,"e796ad3a-8527-46c2-8dfa-8c11f982fa3b",NA
"49","Exploring Educational Excellence- Nashville, TN","2019-08-29T19:00:00",7200,"Hutton Hotel",36.153,-86.797,"80582805-764b-48aa-9d90-7c20c667334c",NA
"50","Exploring Educational Excellence- El Paso, TX","2019-09-17T19:00:00",7200,"El Paso Marriott",31.791,-106.395,"ce39d8ea-a690-4a58-9228-cc7c0ab4ef9e",NA
"51","Exploring Educational Excellence- Salt Lake City, UT","2019-09-18T19:00:00",7200,"Salt Lake City Marriott City Center",40.764,-111.889,"332e7f1c-759e-4766-860d-e99801a3154a",NA
"52","Exploring Educational Excellence- Seattle, WA","2019-09-15T19:00:00",7200,"Seattle Marriott Waterfront",47.611,-122.347,"d13fd948-6ba3-4fca-ad42-909fd91f698e",NA
"53","Exploring Educational Excellence- Kahului HI (Maui)","2019-09-11T18:00:00",7200,"Maui Arts & Cultural Center",20.894,-156.481,"5ca67b6f-2d6c-413f-95de-d1c5ea2cce61",NA
"54","Exploring Educational Excellence- Las Vegas, NV","2019-09-19T19:00:00",7200,"Renaissance Las Vegas Hotel",36.127,-115.154,"d0cbca40-ce3e-4325-ad68-0991ade89fdd",NA
"55","EEE Evening Program in Irvine, CA","2019-04-29T19:00:00",7200,"Hilton Irvine/Orange County Airport",33.675,-117.861,"3ef22548-0d01-4163-8303-a8956ff36f3c",NA
"56","EEE Evening Program in San Diego, CA","2019-04-30T19:00:00",7200,"DoubleTree by Hilton Hotel San Diego - Mission Valley",32.77,-117.16,"30fd0668-2d90-4373-ab12-4a1926bb0dbd",NA
"57","EEE Evening Program in Berkeley, CA","2019-05-01T19:00:00",7200,"DoubleTree by Hilton Hotel Berkeley Marina",37.868,-122.314,"40d3cb6f-1740-42b3-a324-224704faa8a3",NA
"58","EEE Evening Program in San Jose, CA","2019-05-02T19:00:00",7200,"San Jose Marriott",37.33,-121.888,"303bb4cf-35ae-47cf-b3f0-3f0656ec8f83",NA
"59","EEE Evening Program in Wilmington, DE","2019-06-05T19:00:00",7200,"Doubletree Hotel Wilmington",39.742,-75.548,"0bcd2809-11ac-49b6-899d-ef0be516d202",NA
"60","EEE Evening Program in Washington, D.C.","2019-05-21T19:00:00",7200,"Washington Marriott Wardman Park",38.925,-77.054,"4ef4a03c-e9fe-44df-8277-529962d87156",NA
"61","EEE Evening Program in Orlando, FL","2019-04-30T19:00:00",7200,"University High School",28.578,-81.216,"bd01993c-a5ff-477f-8a1d-5d08dde2ae5a",NA
"62","EEE Evening Program in Boca Raton, FL","2019-05-01T19:00:00",7200,"Boca Raton Marriott",26.362,-80.123,"b0840e49-ffeb-4066-8c67-4eeb60f9de57",NA
"63","EEE Evening Program in Miami, FL","2019-05-02T19:00:00",7200,"Marriott Airport Miami",25.784,-80.263,"a49ac622-2544-4154-a73b-990dfca3c763",NA
"64","EEE Afternoon Program in Chicago, IL","2019-06-02T14:00:00",7200,"Chicago Marriott Oak Brook",41.846,-87.953,"71cf1c0b-43e1-4b22-9fd0-83d573590ca1",NA
"65","EEE Evening Program in Chicago, IL","2019-06-02T19:00:00",7200,"Palmer House a Hilton Hotel",41.88,-87.627,"15fdef21-b664-47cb-95eb-b6ec11345989",NA
"66","EEE Evening Program in Indianapolis, IN","2019-06-05T19:00:00",7200,"Sheraton Indianapolis",39.77,-86.159,"e33f2094-c0dd-477a-a8b9-6aefb3a13558",NA
"67","EEE Evening Program in Baltimore, MD","2019-05-19T19:00:00",7200,"Baltimore Marriott Inner Harbor at Camden Yards",39.287,-76.622,"1f020ed7-44f9-4fc9-b711-7d6156b5d3a8",NA
"68","EEE Evening Program in Gaithersburg, MD","2019-05-20T19:00:00",7200,"Gaithersburg Marriott Washingtonian Center",39.116,-77.196,"09300ce1-83a0-40e9-862c-aa4317981290",NA
"69","EEE Evening Program in Detroit, MI","2019-06-06T19:00:00",7200,"DoubleTree by Hilton Hotel Detroit - Dearborn",42.332,-83.217,"cb63f28e-73e6-418c-8f71-c16068cbe683",NA
"70","EEE Evening Program in Minneapolis, MN","2019-06-03T19:00:00",7200,"DoubleTree by Hilton Hotel Minneapolis - Park Place",44.969,-93.351,"2aa092e3-705e-4a04-ab0a-68f81679e99b",NA
"71","EEE Evening Program in St. Louis, MO","2019-06-04T19:00:00",7200,"DoubleTree by Hilton Hotel St. Louis - Chesterfield",38.664,-90.568,"ccbaa3cf-89a2-4009-b177-b337e0157e30",NA
"72","EEE Evening Program in Plainsboro, NJ","2019-06-04T19:00:00",7200,"West Windsor-Plainsboro High School North",40.322,-74.601,"40b89d9d-0882-4771-b309-ab12a00afc50",NA
"73","EEE Afternoon Program in New York, NY","2019-06-02T14:00:00",7200,"Miller Theatre",40.808,-73.963,"ef68d3bf-37dd-411d-80e6-a177fb4e1f9b",NA
"74","EEE Evening Program in White Plains, NY","2019-06-02T19:00:00",7200,"Crowne Plaza Hotel",41.03,-73.76,"e775c18d-e9e5-40bc-8393-299e2f49dc8e",NA
"75","EEE Evening Program in Dix Hills, NY","2019-06-03T19:00:00",7200,"Half Hollow Hills High School East",40.803,-73.359,"af251a94-2b38-4956-8693-b93abf4e641e",NA
"76","EEE Evening Program in King of Prussia, PA","2019-06-06T19:00:00",7200,"DoubleTree by Hilton Hotel Philadelphia - Valley Forge",40.091,-75.37,"0de23f30-c3cd-43ec-a015-38f0a573b4cf",NA
"77","EEE Evening Program in Austin, TX","2019-04-30T19:00:00",7200,"Norris Conference Centers - Austin",30.357,-97.735,"b61f6b51-8ae2-4c3d-9b7c-12dba5948505",NA
"78","EEE Evening Program in Dallas, TX","2019-05-01T19:00:00",7200,"Irving Convention Center at Las Colinas",32.878,-96.943,"346ca5c0-d44f-4a02-a786-70b752269194",NA
"79","EEE Evening Program in Fort Worth, TX","2019-05-02T19:00:00",7200,"Sheraton Fort Worth Downtown Hotel",32.748,-97.325,"798060c4-d8c3-4651-b4be-8ad65339bd3f",NA
"80","EEE Evening Program in Alexandria, VA","2019-05-22T19:00:00",7200,"Tysons Corner Marriott",38.913,-77.223,"fa5ce5f4-4657-4c10-8628-eb6fda662611",NA
"81","EEE Evening Program in Richmond, VA","2019-05-23T19:00:00",7200,"Delta Hotels by Marriott Richmond Downtown",37.538,-77.441,"c52eb675-7aef-4a20-87f5-6c4823e0ab62",NA
"82","Introduction to Columbia: Chicago","2019-07-11T18:00:00",7200,"Whitney M Young Magnet High School",41.878,-87.664,"33440e33-a2ca-4004-a444-f96d5231922f",NA
"83","EEE Evening Program in Birmingham, AL","2019-08-27T19:00:00",7200,"Sheraton Birmingham Hotel",NA,NA,"6026e312-a628-485f-b783-ee4803626f62","Sheraton Birmingham Hotel
2101 Richard Arrington Junior Boulevard North
Birmingham, AL 35203
United States"
"84","EEE Evening Program in Tucson, AZ","2019-09-18T19:00:00",7200,"Marriott Tucson University Park",32.232,-110.958,"0b9104cf-ef24-45c9-b76d-a22f3fae1702",NA
"85","EEE Evening Program in Phoenix, AZ","2019-09-19T19:00:00",7200,"Hilton Scottsdale",33.531,-111.924,"eccbadd1-5576-4507-a19e-5b425304e302",NA
"86","EEE Afternoon Program in Denver, CO","2019-09-15T14:00:00",7200,"Omni Hotel",39.928,-105.118,"90c9240d-d903-4fec-a16a-bb43dce1a699",NA
"87","EEE Evening Program in Denver, CO","2019-09-15T19:00:00",7200,"DoubleTree by Hilton Hotel Denver Tech Center",39.611,-104.898,"5a0a2c2a-10f9-4f58-a99d-2e91aaa225cf",NA
"88","EEE Evening Program in Hartford, CT","2019-09-25T19:00:00",7200,"Hartford Marriott Downtown",41.764,-72.669,"78ce3a48-d062-43fa-80e3-97b9676a7544",NA
"89","EEE Evening Program in Fairfield, CT","2019-09-26T19:00:00",7200,"Fairfield Warde High School",NA,NA,"86697ca6-6907-45c2-bb42-f963250bebd8","Fairfield Warde High School
755 Melville Ave
Fairfield, CT 06825
United States"
"90","EEE Evening Program in Kahului, HI","2019-09-11T18:00:00",7200,"Maui Arts & Cultural Center",20.894,-156.481,"fc3d4dc6-5ba7-4663-b062-1365a34bb668",NA
"91","EEE Evening Program in Waimea, HI","2019-09-12T18:30:00",7200,"Hawaii Preparatory Academy",20.03,-155.699,"70925684-04f8-4113-bb31-915417451605",NA
"92","EEE Afternoon Program in Honolulu, HI","2019-09-14T14:00:00",7200,"Sheraton Waikiki",21.278,-157.83,"2c3f944e-0ef5-40aa-9432-cbcf89665803",NA
"93","EEE Evening Program in Nampa, ID","2019-09-17T19:00:00",7200,"Columbia High School",43.566,-116.514,"021b4afa-8e20-4448-9ab5-1fc913fbfe9a",NA
"94","EEE Evening Program in Des Moines, IA","2019-09-12T19:00:00",7200,"Urbandale High School Performing Arts Center",41.638,-93.715,"fcd9cc0c-9b96-496c-ab1d-ab0086fdb4d4",NA
"95","EEE Evening Program in Wichita, KS","2019-09-09T19:00:00",7200,"Hyatt Regency Wichita",37.684,-97.34,"c064e24b-8d1f-4869-a619-9c266892fb33",NA
"96","EEE Evening Program in Kansas City, MO","2019-09-10T19:00:00",7200,"Sheraton Overland Park Hotel at the Convention Center",38.929,-94.657,"81124f0c-5a4a-436b-bfb8-8640d4da8d4e",NA
"97","EEE Evening Program in Lexington, KY","2019-08-28T19:00:00",7200,"Four Points by Sheraton Lexington",38.102,-84.483,"25e1d981-b2bc-417e-8ba6-81220ac24dc0",NA
"98","EEE Afternoon Program in Baton Rouge, LA","2019-08-25T13:00:00",7200,"Baton Rouge Marriott",30.423,-91.134,"3db8ab4c-ff73-46ec-badf-f7c2a0d2a7fc",NA
"99","EEE Evening Program in New Orleans, LA","2019-08-25T19:00:00",7200,"Hilton Garden Inn New Orleans Convention Center",29.941,-90.066,"cb3a86c3-9111-488e-8d85-c0dfa22f0ec4",NA
"100","EEE Afternoon Program in Cambridge, MA","2019-09-22T14:00:00",7200,"Boston Marriott Cambridge",42.363,-71.086,"f422821a-ab8c-499c-a36e-fe75cc18c6a8",NA
"101","EEE Afternoon Program in Newton, MA","2019-09-22T19:00:00",7200,"Boston Marriott Newton",42.346,-71.258,"d13a1a77-2bfb-4eca-8878-c88c9eb8b8e9",NA
"102","EEE Evening Program in Jackson, MS","2019-08-26T19:00:00",7200,"Hilton Jackson",32.399,-90.143,"06e7d27f-16b8-4b3c-856c-3771e234267a",NA
"103","EEE Evening Program in Omaha, NE","2019-09-11T19:00:00",7200,"Doubletree Hotel Omaha Downtown",41.26,-95.937,"05f60ff3-a72b-4149-81b3-bb3ac05c6515",NA
"104","EEE Evening Program in Las Vegas, NV","2019-09-19T19:00:00",7200,"Renaissance Las Vegas Hotel",36.127,-115.154,"594112e6-7178-4699-a464-f8df3ccae32b",NA
"105","EEE Evening Event in Manchester, NH","2019-09-24T19:00:00",7200,"DoubleTree by Hilton Manchester Downtown",42.988,-71.464,"336bc86a-407d-4ded-b33e-42e08dbd88d3",NA
"106","EEE Evening Program in Albuquerque, NM","2019-09-16T19:00:00",7200,"DoubleTree by Hilton Hotel Albuquerque",35.089,-106.649,"e51e1b5b-113f-44ac-997b-3382a18e975e",NA
"107","EEE Evening Program in Charlotte, NC","2019-08-28T19:00:00",7200,"Charlotte Marriott City Center",35.228,-80.843,"ce821c9a-8e3a-43b2-9126-4cdb7dea051b",NA
"108","EEE Evening Program in Cleveland, OH","2019-08-25T19:00:00",7200,"The Westin Cleveland Downtown",41.504,-81.691,"ff50ea02-4f8a-4114-9ab7-0f4863d77f54",NA
"109","EEE Evening Program in Columbus, OH","2019-08-27T19:00:00",7200,"Upper Arlington High School",40.015,-83.054,"2e53eef3-394c-4aaf-a03e-cf5b64c0063c",NA
"110","EEE Afternoon Program in Oklahoma City, OK","2019-09-08T13:00:00",7200,"The Skirvin Hilton",35.469,-97.514,"938e3e4d-b915-4b53-927d-719f294bb4b9",NA
"111","EEE Evening Program in Tulsa, OK","2019-09-08T19:00:00",7200,"DoubleTree by Hilton Hotel Tulsa Downtown",36.148,-95.996,"358cf83b-7ecb-4517-ac44-5c840083bde5",NA
"112","EEE Evening Program in Portland, OR","2019-09-16T19:00:00",7200,"Crowne Plaza Portland-Downtown Convention Center",45.534,-122.664,"efbd64ec-f22f-4cab-a841-04ba96de20fd",NA
"113","EEE Evening Program in Pittsburgh, PA","2019-08-26T19:00:00",7200,"Pittsburgh Marriott City Center",40.439,-79.992,"7b590b3c-dc6a-42b3-8a2e-ab9899b5821b",NA
"114","EEE Evening Program in Providence, RI","2019-09-23T19:00:00",7200,"Providence Marriott Downtown",41.836,-71.414,"e7d17e9a-79d3-4e03-ae2d-af687a82f840",NA
"115","EEE Evening Program in Charleston, SC","2019-08-29T19:00:00",7200,"North Charleston Marriott",32.873,-80.009,"d50b8686-4601-4061-b9ba-2b15fe3aceeb",NA
"116","EEE Evening Program in Nashville, TN","2019-08-29T19:00:00",7200,"Hutton Hotel",36.153,-86.797,"39591b3b-a942-4b2c-b526-6080ba37eb88",NA
"117","EEE Evening Program in El Paso, TX","2019-09-17T19:00:00",7200,"El Paso Marriott",31.791,-106.395,"dc0d7dee-e132-4ba4-99ba-87673cfd5b17",NA
"118","EEE Evening Program in Salt Lake City, UT","2019-09-18T19:00:00",7200,"Salt Lake City Marriott City Center",40.764,-111.889,"749bcfc3-6cf8-42f9-be62-1bce767cdee3",NA
"119","EEE Evening Program in Seattle, WA","2019-09-15T19:00:00",7200,"Seattle Marriott Waterfront",47.611,-122.347,"d12d3110-ed82-4ae2-a5a7-0a3079ee15c7",NA
"120","Caltech MIT Pomona Yale Information Session in McAllen","2019-04-28T14:00:00",NA," Lamar IB/Options to Education Academy",26.213,-98.229,"CMPYMcAllen2019",NA
"121","Caltech MIT Pomona Yale Information Session in New Orleans","2019-04-29T18:00:00",NA,"Benjamin Franklin High School",30.025,-90.066,"CMPYNewOrleans2019",NA
"122","Caltech MIT Pomona Yale Information Session in Pensacola","2019-04-30T19:00:00",NA,"Pensacola High School",30.435,-87.225,"CMPYPensacola2019",NA
"123","Caltech MIT Pomona Yale Information Session in Jacksonville","2019-05-01T19:00:00",NA,"Paxon School for Advanced Studies",30.346,-81.725,"CMPYJacksonville2019",NA
"124","Caltech MIT Pomona Yale Information Session In Orlando","2019-05-02T19:00:00",NA,"Lake Highland Preparatory School",28.558,-81.372,"CMPYOrlando2019",NA
"125","Caltech MIT Pomona Yale Information Session in Saint Paul","2019-09-15T16:00:00",NA,"St. Paul Academy and Summit School",44.926,-93.174,"5207c49f-b6f1-4234-b30f-5fcc4dc0be3e",NA
"126","Caltech MIT Pomona Yale Information Session in Dubuque","2019-09-16T19:00:00",5400,"Hempstead High School",42.502,-90.734,"01e8c2d7-3d43-41e7-8730-9e639db8ec69",NA
"127","Caltech MIT Pomona Yale Information Session in Milwaukee","2019-09-17T19:00:00",5400,"University School of Milwaukee",43.186,-87.936,"d71cce9b-4e42-44b9-b3c0-3ca8815048d3",NA
"128","Caltech MIT Pomona Yale Information Session in Champaign","2019-09-18T19:00:00",5400,"Centennial High School",40.106,-88.282,"256e943c-ce7f-4103-aa98-ed92cf8fd9b2",NA
"129","Caltech MIT Pomona Yale Information Session in Indianapolis","2019-09-19T19:00:00",5400,"Cathedral High School",39.852,-86.08,"a23dc145-7ff7-4862-8427-2b574d034fdb",NA
"130","Coast to Coast College Tour – Birmingham Information Session","2019-05-21T19:00:00",7200,"Hilton Birmingham at UAB",33.504,-86.799,"33ead71c-7167-416b-a328-e47d515b6a68",NA
"131","Coast to Coast College Tour – Fort Lauderdale Information Session","2019-05-19T13:00:00",7200,"DoubleTree by Hilton Hotel Sunrise - Sawgrass Mills",26.145,-80.326,"a4b5d27d-9f64-411b-8397-ada936fe670b",NA
"132","Coast to Coast College Tour – Miami Information Session","2019-05-19T19:00:00",7200,"Hilton Miami Airport Blue Lagoon",25.782,-80.279,"41de5e21-d6ea-4e58-b9a6-07131a3a8edd",NA
"133","Coast to Coast College Tour – Tampa Information Session","2019-05-22T19:00:00",7200,"Tampa Airport Marriott",27.981,-82.535,"9863a21f-6340-4cf2-a631-0ca5fac99d24",NA
"134","SAS College Forum","2019-06-01T10:00:00",7200,"School for Advanced Studies (SAS) at Miami Dade College",25.778,-80.189,"14ce253f-1c36-40fc-8ade-fd3932f6260b",NA
"135","Coast to Coast College Tour – Atlanta Information Session","2019-05-20T19:00:00",7200,"The Westminster Schools",33.848,-84.433,"c9d091e8-8b97-40e0-8b32-95c5a78912d9",NA
"136","College and University Breakthrough - Honolulu Information Session","2019-06-03T19:00:00",7200,"Japanese Cultural Center of Hawai'i",21.294,-157.823,"7db8d3d1-6958-41a5-862e-3a446a049e77",NA
"137","Coast to Coast College Tour – Indianapolis Information Session","2019-05-21T19:00:00",7200,"University High School of Indiana",39.954,-86.212,"4770d6b4-4510-4e0a-9623-bef3208879f9",NA
"138","Coast to Coast College Tour – Washington Information Session","2019-06-02T19:00:00",7200,"Bethesda-Chevy Chase High School",38.987,-77.089,"e586c281-a851-47ab-893f-40d192536fd3",NA
"139","Coast to Coast College Tour – Baltimore Information Session","2019-06-03T19:00:00",7200,"Sheraton Baltimore North Hotel",39.406,-76.6,"eca35c67-3874-4471-a11a-9558da4dce62",NA
"140","Coast to Coast College Tour – Boston Information Session","2019-06-06T19:00:00",7200,"The Westin Waltham Boston",42.395,-71.26,"d9ee406d-4001-4f6c-bff7-4cae8923134b",NA
"141","Coast to Coast College Tour – Detroit Information Session","2019-05-20T19:00:00",7200,"Troy High School",42.587,-83.178,"7d986b10-4973-4e72-976a-1a4bae1c30b2",NA
"142","Coast to Coast College Tour – Minneapolis Information Session","2019-05-23T19:00:00",7200,"Edina High School",NA,NA,"d865ae85-b725-4509-be4a-98f7e775a07f","Edina High School
Edina Performing Arts Center
6754 Valley View Rd
Edina, MN 55439
United States"
"143","Coast to Coast College Tour – Long Island Information Session","2019-06-04T19:00:00",7200,"Melville Marriott Long Island",40.784,-73.422,"4856aeee-0d80-4bf2-8feb-ebf13308de23",NA
"144","Coast to Coast College Tour – Albany Information Session","2019-06-05T19:00:00",7200,"Columbia High School",42.626,-73.691,"658c0fca-5695-4e86-9b23-3c3be4dc9786",NA
"145","Coast to Coast College Tour – Pittsburgh Information Session","2019-05-19T19:00:00",7200,"Fox Chapel Area High School",40.519,-79.87,"a26a80d5-9a73-4b3b-bbf8-74ebdc88df2c",NA
